"PT";"AFD";"BLOK";"IFTYPE";"IFSUBTYPE";"IFCODE";"IFDESC";"DIMENSI";"NILAI";"SATUAN";"BAIK";"SIAGA";"RUSAK";"WO_NO";"CREATED_DATE";"CREATED_BY";"MODIFIED_DATE";"MODIFIED_BY";"LAT";"LON";"TOPOGRAFI";"JENIS_TANAH";"ACTIVE"
"SA1";"OA";"001";"JL";"JLA";"JLAOA001";"Jalan Transport Timur OA001";"PJG";"161";"MTR";"161";"0";"0";"WOWIF/SA1/202608/020045";"19-AUG-26 01.41.55.000000 PM";"0107042";"19-AUG-26 01.41.55.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OA";"001";"JL";"JLB";"JLBOA001";"Jalan Koleksi Utara OA001";"PJG";"1167";"MTR";"1097";"70";"0";"";"23-MAY-26 06.52.08.000000 AM";"0107042";"23-MAY-26 06.52.08.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OA";"002";"JL";"JLA";"JLAOA002";"Jalan Transport Timur OA002";"PJG";"166";"MTR";"166";"0";"0";"";"15-JUL-26 10.37.04.000000 AM";"0107042";"15-JUL-26 10.37.04.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OA";"002";"JL";"JLB";"JLBOA002";"Jalan Koleksi Utara OA002";"PJG";"1126";"MTR";"1126";"0";"0";"";"16-APR-25 10.29.52.000000 AM";"upesa";"16-APR-25 10.29.52.000000 AM";"";"";"";"";"";"Y"
"SA1";"OA";"003";"JL";"JLA";"JLAOA003";"Jalan Transport Timur OA003";"PJG";"249";"MTR";"249";"0";"0";"";"15-JUL-26 10.38.07.000000 AM";"0107042";"15-JUL-26 10.38.07.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OA";"003";"JL";"JLB";"JLBOA003";"Jalan Koleksi Utara OA003";"PJG";"1017";"MTR";"1017";"0";"0";"WOWIF/SA1/202606/020030";"11-JUN-26 06.25.00.000000 AM";"0107042";"11-JUN-26 06.25.00.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OA";"004";"JL";"JLA";"JLAOA004";"Jalan Transport Timur OA004";"PJG";"247";"MTR";"222";"25";"0";"";"26-JUN-26 02.32.13.000000 PM";"0107042";"26-JUN-26 02.32.13.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OA";"004";"JL";"JLB";"JLBOA004";"Jalan Koleksi Utara OA004";"PJG";"1169";"MTR";"1169";"0";"0";"";"10-JUN-25 11.49.41.000000 AM";"0107042";"10-JUN-25 11.49.41.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OA";"005";"JL";"JLA";"JLAOA005";"Jalan Transport Timur OA005";"PJG";"245";"MTR";"225";"20";"0";"";"26-MAY-26 10.26.06.000000 AM";"0107042";"26-MAY-26 10.26.06.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OA";"005";"JL";"JLB";"JLBOA005";"Jalan Koleksi Utara OA005";"PJG";"1169";"MTR";"1169";"0";"0";"WOWIF/SA1/202507/020062";"15-JUL-25 09.21.53.000000 AM";"0107042";"15-JUL-25 09.21.53.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OA";"006";"JL";"JLA";"JLAOA006";"Jalan Transport Timur OA006";"PJG";"231";"MTR";"231";"0";"0";"";"06-MAY-25 03.25.06.000000 PM";"0107042";"06-MAY-25 03.25.06.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OA";"006";"JL";"JLB";"JLBOA006";"Jalan Koleksi Utara OA006";"PJG";"1016";"MTR";"1016";"0";"0";"";"20-MAY-25 09.45.59.000000 AM";"0107042";"20-MAY-25 09.45.59.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OA";"007";"JL";"JLA";"JLAOA007";"Jalan Transport Timur OA007";"PJG";"249";"MTR";"249";"0";"0";"";"04-JUN-26 01.02.29.000000 PM";"0107042";"04-JUN-26 01.02.29.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OA";"007";"JL";"JLB";"JLBOA007";"Jalan Koleksi Utara OA007";"PJG";"1015";"MTR";"1015";"0";"0";"";"03-JUN-25 07.34.31.000000 AM";"0107042";"03-JUN-25 07.34.31.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OA";"008";"JL";"JLA";"JLAOA008";"Jalan Transport Timur OA008";"PJG";"236";"MTR";"201";"35";"0";"";"26-JUN-26 02.31.16.000000 PM";"0107042";"26-JUN-26 02.31.16.000000 PM";"0107042";"0";"0";"";"";"Y"
